"arg" "aus" "aut" "bel" "bgr" "blt" "bra" "can" "chl" "chn" "cor" "cro" "dnk" "egy" "esp" "fin" "fra" "gbr" "golf57" "grc" "hun" "idn" "irl" "ita" "jpn" "meme" "mex" "mys" "nde" "nld" "noan" "noap" "nor" "oeu" "osea" "pol" "prt" "rcam" "rcz" "rfa" "ris" "rjan57" "rom" "rsaf" "rsam" "rsas" "rsl" "rus" "slo" "sui" "swe" "tha" "tur" "ukr" "usa" "vnm" "zaf"
"1" 290.039293209403 296.794040026973 279.477197286162 282.817872462384 284.039317683576 276.618634832756 299.563786453191 269.469704825556 284.232632148223 278.421913624998 285.178771951256 284.232127765084 280.048194023118 297.048108241639 286.626956493996 271.577601453388 284.505896342598 281.854182575229 298.955519661337 287.110303731179 283.616782403025 299.160191363681 283.07902063982 285.929092952617 283.262469147411 291.021109939408 293.152178145151 298.447165622474 300.00065774895 282.462590786491 293.708187687322 296.905229431838 272.358824975704 279.379920584954 293.195051031781 280.186754378784 288.880056895317 295.275156951166 281.14618358881 281.59083342711 280.12572261535 297.206893606542 282.101647976902 298.966361030874 295.56911975826 292.614338421743 280.262446222682 267.591087605661 283.293212300774 279.194233381704 273.590027869524 299.018888583517 283.459783965627 280.442729072763 281.813189137947 296.564177257838 291.721313517138
"2" 290.042281230517 297.030102996006 279.647465142787 282.792379224963 284.338133744611 276.479265255321 299.452024613012 269.536177103776 284.355344822299 278.531747834849 285.235602148706 284.432692670466 279.894034100969 297.223865294729 286.724936626265 270.974312464135 284.494005099256 281.742579095171 299.084919840175 287.369573321096 283.725672772367 299.183066052353 282.97280751175 286.085278458547 283.41586475389 291.24073472744 293.144690077113 298.465860746334 300.049577486463 282.409278041962 293.906615769536 297.094554075027 271.893195213073 279.424018841168 293.20056337241 280.247912105258 288.896845903922 295.309566332372 281.28228821235 281.600962407497 280.415266829006 297.227602479435 282.276235516333 299.058689905075 295.54728028656 292.680495786242 280.352879595371 267.656171403525 283.457381933921 279.236218016687 273.064936333528 298.974471008826 283.77499886064 280.629460914589 281.693983576362 296.463086561503 291.887625922937
"3" 290.030930190505 297.20489004869 279.791441510989 282.782307653306 284.575844557505 276.371082505455 299.35258038642 269.584206083008 284.44749645848 278.621737944826 285.29105209671 284.598921913545 279.779903659075 297.352168999065 286.793764959373 270.489065699695 284.490462044453 281.660248969806 299.173950514757 287.571560550065 283.822043246194 299.196550617545 282.893664831984 286.211330171936 283.544688288255 291.401197800829 293.138948956146 298.475598224495 300.088796812097 282.376889739692 294.049746816858 297.234433664758 271.522636684047 279.458573716946 293.200982275806 280.304279252676 288.901329518592 295.329925828112 281.400564855349 281.619074599581 280.638650402357 297.239123181207 282.417414998601 299.123158690157 295.521220448726 292.73037248417 280.43260504448 267.712079675536 283.595930825544 279.275939791518 272.648309299538 298.926995402537 284.015267448833 280.780404821236 281.603645981013 296.374234841643 292.00832355225
"4" 290.00748246039 297.324943120151 279.911194032777 282.785769332048 284.758292035394 276.291575565911 299.264847294411 269.615954770109 284.512326744418 278.693541706722 285.344762474202 284.73376147426 279.701956421929 297.438199013594 286.836602009941 270.1122357522 284.494195297278 281.60422996108 299.227298090118 287.721916004196 283.906626506751 299.201799442178 282.838887578974 286.31002518678 283.650919170239 291.508912478778 293.134780237462 298.477517334196 300.119399256434 282.363081590686 294.143469274591 297.330113438978 271.239164126215 279.484698418888 293.196998319029 280.356124253212 288.895124969601 295.337936149167 281.502261097856 281.644019521054 280.802526557396 297.242650170321 282.528225022331 299.162950990917 295.491880086018 292.765803155746 280.502351730325 267.759709024987 283.710923329677 279.313288811487 272.330795029834 298.877392827477 284.188271006415 280.898899117832 281.539200823875 296.296935922455 292.088488132237
"5" 289.974180411197 297.396804145513 280.008790350162 282.800875845825 284.891318091415 276.238233419438 299.188218857982 269.633586171939 284.553075367767 278.748816872331 285.396373960119 284.840157332555 279.656346114027 297.487134997262 286.856608294588 269.83419721378 284.504132976822 281.571559830937 299.249648971292 287.826290269595 283.980155236285 299.199966909173 282.805770731173 286.384140597072 283.736536819575 291.570292080491 293.132009376272 298.472757352682 300.142468350055 282.365509305947 294.193671588034 297.386838635632 271.034792277163 279.503506153594 293.189302079139 280.403715539039 288.879849487223 295.33529800632 281.588624519916 281.674646689605 280.913548516114 297.239377905238 282.611704186149 299.181250412154 295.460199039698 292.788622441189 280.562848813225 267.799956055171 283.804423800356 279.34815518188 272.103041786696 298.82659434647 284.301690809593 280.988282129502 281.497672576922 296.230503628137 292.133201390058
"6" 289.933266413949 297.427015059899 280.086298105155 282.825738779273 284.980764638705 276.208545048788 299.122088598129 269.639263295355 284.572982016178 278.789221193449 285.445527233393 284.92105546837 279.639226459861 297.504156609015 286.856944329934 269.645324676566 284.519203202171 281.559276341322 299.245689563314 287.890333932372 284.043362117044 299.192207401449 282.79160926703 286.436453496806 283.803520655994 291.591749925172 293.13046182779 298.462457557193 300.159087623542 282.381828596477 294.206242202491 297.409854492665 270.901535874477 279.516110127665 293.178584133196 280.447321542331 288.857120301731 295.323712110351 281.660902701577 281.709805622925 280.978369500504 297.230500844419 282.670891088681 299.181240558666 295.427117151029 292.800664980717 280.614825453498 267.833717369381 283.878496591614 279.380429007987 271.955697832402 298.775531022341 284.363208134575 281.051892181376 281.476085712128 296.174251782885 292.147545052875
"7" 289.886982839669 297.422117798435 280.145784939765 282.858469717026 285.0324735904 276.19999943671 299.06585003585 269.635149147216 284.575286377303 278.816412421869 285.491862972959 284.979401861646 279.646751183925 297.4944435078 286.840770632597 269.535992732688 284.538334092417 281.56441725418 299.220106271218 287.919697578635 284.096979831273 299.179675301927 282.793698164999 286.469740979976 283.853850099231 291.579699332022 293.129963047228 298.447757224972 300.170340607477 282.409695173281 294.18706956326 297.404406248023 270.831409655745 279.523623547702 293.165535058259 280.487210695262 288.828554643399 295.304879172042 281.720343222886 281.748345838704 281.003642732557 297.217213446326 282.708824328552 299.166105035251 295.393574261271 292.803765414547 280.659010811462 267.861889570911 283.935206057487 279.410000395095 271.879411429232 298.725133917917 284.380504257568 281.093067598578 281.471464701469 296.127494210898 292.136600847845
"8" 289.837572059382 297.388654296243 280.189318496003 282.897180243721 285.052286859638 276.210085565955 299.018896692141 269.623406734379 284.563228138797 278.832048309386 285.535021857752 285.018142492326 279.675074010714 297.463175352563 286.811247719199 269.496575974278 284.560453766646 281.584020331456 299.177585500038 287.920031794493 284.141741061218 299.163524993527 282.809332403531 286.486780140575 283.889504569016 291.540553620247 293.130338489797 298.429795633261 300.177310832442 282.446764747362 294.142042115645 297.375739139651 270.816428358554 279.527159620304 293.15084543139 280.523651430006 288.795769742499 295.280499902174 281.76819366389 281.789116854633 280.996021434265 297.20071016942 282.728542504389 299.139027446706 295.360510211686 292.799758382899 280.696134047434 267.885369263054 283.97661655201 279.436759448493 271.864830839464 298.676334096021 284.361260454782 281.115146706238 281.480834016918 296.089544736372 292.105450502131
"9" 289.787276444109 297.333166488448 280.21896641588 282.939981943993 285.046046359555 276.236292419274 298.980622087998 269.606199063703 284.540046988311 278.837786607794 285.574644566706 285.04022334035 279.720348664721 297.415531802251 286.771536106358 269.517448993466 284.58449034395 281.615123335094 299.122813654809 287.896987166053 284.178378489127 299.144910859169 282.835806961078 286.490348072597 283.912463485082 291.480726109048 293.131413610711 298.409712059302 300.181081829019 282.490693029723 294.077048304946 297.329098405496 270.848606720491 279.527831552072 293.135205829647 280.556912178737 288.760382829306 295.252275011528 281.805701604635 281.830968188403 280.962158827621 297.182185472162 282.733084214817 299.10319139783 295.328864843537 292.79047852599 280.726924321733 267.905053049102 284.004792429218 279.460596273468 271.902604325379 298.630062619479 284.313158002424 281.121467829482 281.501218130451 296.059717183506 292.059175742892
"10" 289.738338364876 297.262196310175 280.236796341405 282.984986402477 285.019594003287 276.276108979418 298.95041974442 269.585689142046 284.508982613497 278.835285068888 285.610371778755 285.04859038566 279.77872887044 297.356692515811 286.724796310694 269.588986382383 284.609371943416 281.654764027038 299.060477140566 287.856214279424 284.207624797246 299.124987281774 282.870416816091 286.483221870037 283.924706267163 291.406630117629 293.133013865181 298.388645780337 300.182737127789 282.539135731366 293.997976576464 297.269729283503 270.919959479141 279.526752549607 293.119306830091 280.587261373627 288.724011134093 295.221905210886 281.83411462517 281.872749357703 280.908708134616 297.162833813014 282.725488058462 299.06178049342 295.299577998084 292.777760484038 280.752110794676 267.921837532349 284.021798043144 279.481400975309 271.983380149255 298.587250551117 284.243878176702 281.115369293436 281.529641514041 296.037325376495 292.002858297287
"11" 289.693000192706 297.182285696546 280.24487591459 283.03030520381 284.978771703971 276.327024229137 298.927683182401 269.564039976266 284.473274702009 278.826201444462 285.641844172834 285.046189608198 279.846368352365 297.291837152188 286.674188848826 269.701562733159 284.634026684134 281.699980169234 298.995262362343 287.803363720715 284.230212667822 299.104908644261 282.910456947024 286.468178626889 283.928212334989 291.324678965193 293.13496470842 298.367736073609 300.183360259334 282.589748563297 293.9107153755 297.202877011617 271.022501372093 279.525035819509 293.103839009781 280.614967446852 288.688271887132 295.191091211029 281.85468030554 281.913309880224 280.842322577242 297.143849650437 282.708792633949 299.017978338275 295.273589516591 292.763438897263 280.772422626581 267.936619316088 284.029697747824 279.499063659304 272.097806573372 298.54882895376 284.161102253824 281.100189423229 281.563128639665 296.021683139538 291.941579892478
"12" 289.653504298621 297.099976582687 280.245272777444 283.074049932626 284.929421374745 276.386527151182 298.91180592294 269.543414573222 284.436162941499 278.81219348631 285.668702427877 285.035966987904 279.91942083499 297.226145370329 286.622874237374 269.845552637926 284.657382685192 281.747809523627 298.931855725174 287.744086076033 284.246874783101 299.085829329552 282.953222332326 286.447995437145 283.924961108295 291.241285970945 293.13709159564 298.34812221636 300.184034754237 282.640187236517 293.821153147356 297.133786827785 271.148247136933 279.523794568378 293.089492945779 280.640298830584 288.654782318699 295.161533722739 281.868646225793 281.951499273656 280.769655377492 297.126427442893 282.686036539905 298.974968537192 295.251839240317 292.749348405881 280.788588977767 267.950295003612 284.030555897294 279.513474430741 272.236531860009 298.515728890233 284.072511509997 281.079266543988 281.598703979296 296.012104296831 291.880422255624
"13" 289.622093053646 297.021810903722 280.240054571978 283.114332173562 284.877384928744 276.452106728303 298.902181487033 269.52597593977 284.40088701962 278.794918946227 285.690587222819 285.02086850472 279.994040042809 297.164796829181 286.574012992958 270.011330688814 284.67836806568 281.795289852161 298.874943634094 287.684031931488 284.258343825329 299.068903720566 282.996007950451 286.4254493948 283.916932006812 291.162864454086 293.139219982053 298.330943485831 300.185844143078 282.688107462031 293.735178337333 297.067703969951 271.289211511248 279.524142002815 293.076959215143 280.663523956998 288.625159659065 295.134933456797 281.877259965976 281.98616705569 280.697359757357 297.111761648842 282.660258374954 298.935934694969 295.235267010526 292.737323650112 280.801339008551 267.963761198214 284.026436845586 279.524523394908 272.390204271445 298.48888142336 283.985787221431 281.055938980839 281.633392004908 296.007902672573 291.824467113886
"14" 289.601008828805 296.954330594774 280.231288940202 283.149263511252 284.828504279105 276.52125194325 298.898203395676 269.513887082771 284.370686624023 278.776035576008 285.707139236593 285.003840138588 280.066379700315 297.11297118769 286.530765632197 270.189271477954 284.695910944686 281.839458916781 298.829212494138 287.628851873187 284.265352476753 299.055286200223 283.03610877985 286.403317593848 283.906104450272 291.09582773382 293.141175322872 298.317339159264 300.18987195644 282.731164950841 293.658679390731 297.009873676061 271.437409232625 279.52719132942 293.066928394935 280.684911258266 288.601021138505 295.112991123984 281.881769106136 282.016162744017 280.632088938829 297.101046726747 282.634496737724 298.904060416405 295.224812668479 292.729199270173 280.811401879251 267.977914503188 284.019404946737 279.532100657094 272.549472069959 298.469217615968 283.908610664332 281.03354505891 281.664217188477 296.00839209096 291.778796194423
"15" 289.59249399512 296.904077590968 280.221043524127 283.176955530333 284.788621338966 276.591451778776 298.899265169866 269.509311009081 284.348801442362 278.757201127446 285.717999148135 284.987827869449 280.132593532004 297.075848104803 286.496292671712 270.369749597477 284.7089394413 281.877354479432 298.799348710339 287.58419648724 284.26863341962 299.046131151444 283.070819798975 286.384377128283 283.894457858409 291.046589129351 293.142783073308 298.308448513903 300.197201724905 282.767015413951 293.597544752853 296.965541184061 271.58485503865 279.534055754794 293.060091062213 280.704729166564 288.583983987291 295.097407435082 281.88342122632 282.040335856326 280.5804961439 297.095477135069 282.611790226839 298.882529306297 295.221416055437 292.726809906282 280.819506750185 267.993651521826 284.011524554781 279.536096322586 272.704983517831 298.457668530882 283.848663114908 281.015423103328 281.688204001976 296.012886376191 291.748491224396
"16" 289.598086680663 296.876084905737 280.211018598316 283.195961819645 284.762355257093 276.660579828163 298.904773578546 269.513859942586 284.337727306391 278.739798569928 285.722981869647 284.975199855636 280.189587924091 297.05738778478 286.473023914428 270.54465487498 284.716640536109 281.906640320977 298.788864501222 287.554501147288 284.268838192493 299.042303749513 283.098000810391 286.370822298531 283.883632790646 291.020059001838 293.143918329895 298.305116930354 300.208646197505 282.793831269943 293.556332840293 296.938761254583 271.724878158469 279.545547076861 293.056959457203 280.723197366757 288.575237931712 295.089458260352 281.883262273023 282.05781190968 280.547780030638 297.095923569942 282.594573636967 298.873747938924 295.225692230784 292.731529850723 280.82626165555 268.011673147595 284.004472224502 279.53646863256 272.849006077419 298.454851487976 283.811913408675 281.004236604203 281.703074605709 296.020751050111 291.737396547545
"17" 289.616508041687 296.869349865758 280.20144496755 283.206603984858 284.74943412478 276.728048126834 298.914188382435 269.526942975271 284.336984624267 278.72411174321 285.722599246407 284.96601296905 280.237279909693 297.056672613134 286.460466308507 270.711938079931 284.719236655691 281.92748429796 298.796575339269 287.539340377114 284.266293759208 299.043512339167 283.117770913115 286.362516230754 283.87391436517 291.015135880267 293.144654754446 298.307014202686 300.223934997079 282.811851767707 293.534281954821 296.928826739011 271.856065787461 279.561271458841 293.057332472794 280.740340554476 288.574262682112 295.088720107978 281.881531658534 282.06882041863 280.533321001409 297.101961678194 282.582866546946 298.877014766491 295.236957126386 292.742892004034 280.831790125062 268.031897434652 283.998373313682 279.533448371738 272.980284011398 298.460128835319 283.79748061837 280.999949711583 281.709341913284 296.031558425169 291.744406973928
"18" 289.645774991495 296.881360876013 280.192186069163 283.209645635844 284.748363268949 276.793653320741 298.926982590199 269.547418416151 284.34534994825 278.710149704642 285.717537356961 284.959746259982 280.276339183646 297.071565520693 286.457396088417 270.871065217265 284.717209088124 281.940680285844 298.820122510451 287.537073488033 284.261245939917 299.049176057508 283.130814030278 286.358739257545 283.865248839862 291.02921533558 293.145115650094 298.313516228334 300.242526964914 282.821832863716 293.529300369498 296.933840011413 271.978319612563 279.580533655279 293.060830665039 280.756134678046 288.580110444849 295.094344645625 281.878267161592 282.073866897099 280.535044894655 297.112843344325 282.576084731652 298.890851210682 295.254201892233 292.759968918817 280.836094562314 268.05404672733 283.992965380851 279.527334460732 273.099180782523 298.472549178033 283.802771376041 281.001851740498 281.708216526639 296.044932511463 291.767179930185
"19" 289.683904443387 296.909606341488 280.183105340487 283.205850382478 284.757648016524 276.85719205584 298.942629210504 269.574144574239 284.361599830598 278.69792151157 285.708482279856 284.955878778726 280.307435440789 297.099929438284 286.462589488625 271.021502291918 284.711039121484 281.947022160089 298.85714730074 287.546059791362 284.253940554772 299.058714041637 283.137814085011 286.358771711498 283.857582472601 291.059692938719 293.145424319973 298.323998904732 300.263880942301 282.82453051444 293.539296357388 296.951903445859 272.091541320711 279.602638420717 293.06707458999 280.77055568579 288.591833426281 295.105483540955 281.873506560933 282.07345685901 280.550877548819 297.127820452837 282.573643965964 298.913778693183 295.276417678312 292.781833147676 280.839177370902 268.077843369959 283.987985984541 279.51842582015 273.206059853547 298.491161121237 283.825192313733 281.009232005976 281.70090904771 296.060497319091 291.803372842954
"20" 289.728913310667 296.951574667168 280.174066218858 283.195981834634 284.775793694429 276.918460978086 298.960601252015 269.605979758547 284.384510823573 278.687436221343 285.696120093636 284.953889575572 280.331238375959 297.139627296735 286.474822743601 271.162715308823 284.701208043849 281.94730379616 298.905290996107 287.564658598416 284.244623423925 299.071545428655 283.139455000444 286.361893925208 283.850861521266 291.103964260627 293.145704067216 298.337838129313 300.287455770528 282.820700676349 293.562178191555 296.981119416418 272.195632598845 279.626890509702 293.075684803702 280.783579526034 288.608483832768 295.121288461635 281.867287635296 282.068095818285 280.578744802342 297.14614488823 282.57496002476 298.944318635679 295.302595634613 292.807557243215 280.841040954419 268.103009706871 283.983172683281 279.507021370603 273.301284687226 298.515013270049 283.862150063491 281.02137982305 281.688630078435 296.07787685815 291.850643138874
"21" 289.778818506635 297.004754258038 280.164932141609 283.180803602185 284.801305629585 276.977256733432 298.980371723399 269.64178227809 284.412859479432 278.67870289131 285.68113687685 284.953257700813 280.348417683996 297.188522026873 286.492872087811 271.294170272915 284.688197143294 281.942319069518 298.962194882523 287.591229220512 284.233540367529 299.087089355664 283.136420699709 286.367386231267 283.845032243737 291.159424872246 293.146078194957 298.354409799513 300.312710290884 282.811099305913 293.595854145061 297.01959029716 272.2904951339 279.652594676776 293.086281862228 280.7951821471 288.629113870667 295.140911075326 281.859648163418 282.058289288848 280.616572493666 297.167068535004 282.57944868292 298.980992459855 295.331726911122 292.836213758035 280.841687716461 268.129268082397 283.978263035603 279.493420032702 273.385218746313 298.543154229591 283.911051257361 281.037584506749 281.672590220751 296.096695138739 291.906648244584
"22" 289.831636944593 297.066633519082 280.155566546073 283.161079295005 284.832689148918 277.033375967834 299.001413633319 269.680410441881 284.445422350435 278.671730578818 285.664218708041 284.953462204742 280.359643059737 297.244476559526 286.515513755724 271.41533318913 284.672487707898 281.932861855624 299.02550024596 287.624130968966 284.220937205736 299.104764959765 283.129395105935 286.37452896227 283.840040897892 291.223470344517 293.146670006329 298.373089812765 300.339103344657 282.796482359603 293.638232490968 297.065418462155 272.376030612813 279.679055676484 293.098486321622 280.805339497313 288.652775746337 295.163503049694 281.850625924037 282.044542784621 280.662286461234 297.189843277661 282.586525715321 299.022321587397 295.36280265783 292.86687524474 280.841120060621 268.156340840867 283.972994600038 279.477920727055 273.458225493564 298.57463260498 283.969302527389 281.057135372104 281.654000076595 296.116576170956 291.969045586723
"23" 289.885385537843 297.134700855285 280.145832869585 283.137572522968 284.86844957935 277.086615327246 299.023199990443 269.720722558932 284.480975988841 278.666528341217 285.646051665758 284.953982137649 280.365584198019 297.30535382552 286.541523981809 271.525670062402 284.654561025737 281.919726029943 299.09284837239 287.661723155094 284.207059758698 299.123991378059 283.119062142254 286.382602450811 283.835833741612 291.293496248382 293.147602804466 298.393254066504 300.366093773138 282.77760579389 293.68722150234 297.116706285471 272.452140722522 279.705578263371 293.111918737936 280.814027524998 288.678521666137 295.188216052402 281.84025869589 282.027361819527 280.713812543487 297.2137210007 282.595606896841 299.066827439989 295.394814024724 292.898614255933 280.839340390494 268.183950326614 283.967104935116 279.460822374273 273.520668391731 298.608497001338 284.034310505621 281.079321734143 281.634070247904 296.137143964897 292.03549259193
"24" 289.938081199686 297.206444671631 280.135594549478 283.111046895949 284.907092247804 277.136771457622 299.045203803436 269.761576938257 284.51829694691 278.663105235854 285.627321828546 284.954296549829 280.366910793683 297.369016755685 286.569679000533 271.624646897667 284.634898384888 281.903705467936 299.161880547784 287.702365090211 284.192153846568 299.144187747648 283.106105731796 286.390887029483 283.832357032776 291.366898154785 293.148999892501 298.414278458165 300.393140417614 282.755225565245 293.74072945224 297.171556141179 272.518727149965 279.731467191979 293.126199667225 280.821222178477 288.705403836425 295.214201751116 281.828584257715 282.007251907489 280.769076578868 297.237953588624 282.606108002359 299.113031439318 295.426752161792 292.930503344216 280.836351109674 268.211818883968 283.960331599368 279.442423894967 273.57291090357 298.643796023783 284.103481824102 281.103432907899 281.614011336614 296.158022530662 292.103646686843
